player_name,pitcher,events,p_throws,pitch_name,release_speed,hit_distance_sc,launch_speed,launch_angle,bat_score,post_bat_score,delta_run_exp
"Ohtani, Shohei",642231,single,R,Changeup,85.7,212,88.3,16,6,7,0.9
"Ohtani, Shohei",593679,single,R,4-Seam Fastball,93,262,105,12,3,3,0.9
"Ohtani, Shohei",543001,single,L,4-Seam Fastball,89.5,116,100.6,6,5,5,0.9
"Ohtani, Shohei",543001,single,L,Slider,82.4,211,111.2,13,0,1,0.9
"Ohtani, Shohei",501822,single,R,4-Seam Fastball,94.3,224,103.1,9,2,2,0.9
"Ohtani, Shohei",571666,double,R,Changeup,83.8,221,111.5,11,5,5,1.25
"Ohtani, Shohei",518883,single,L,Slider,77,36,23.9,42,6,7,0.9
"Ohtani, Shohei",571666,single,R,4-Seam Fastball,90.9,230,83.7,17,0,0,0.9
"Ohtani, Shohei",622795,single,L,Curveball,77.7,70,105.9,3,0,1,0.9
"Ohtani, Shohei",455119,home_run,R,4-Seam Fastball,95.7,375,105,24,2,3,2
"Ohtani, Shohei",527048,single,L,Slider,85.9,208,67,25,0,1,0.9
"Ohtani, Shohei",592716,home_run,R,Sinker,90.4,428,112.9,36,0,1,2
"Ohtani, Shohei",474463,single,L,Sinker,89.8,4,94.5,-28,0,0,0.9
"Ohtani, Shohei",488748,single,L,4-Seam Fastball,92.1,86,85.6,4,1,1,0.9
"Ohtani, Shohei",670036,single,R,Slider,86,121,109.5,7,4,4,0.9
"Ohtani, Shohei",541640,home_run,R,Sinker,88.8,418,103.8,26,2,3,2
"Ohtani, Shohei",607473,double,R,Slider,83.9,322,108.1,12,1,1,1.25
"Ohtani, Shohei",451596,double,R,Slider,90.2,359,108.3,21,2,2,1.25
"Ohtani, Shohei",572750,single,R,4-Seam Fastball,94.4,77,109.3,3,7,7,0.9
"Ohtani, Shohei",501985,double,L,Slider,87.9,313,105.6,18,0,0,1.25
"Ohtani, Shohei",592222,single,L,Sinker,85.6,163,109,7,1,2,0.9
"Ohtani, Shohei",573668,double,R,Changeup,90.5,265,102.3,13,1,1,1.25
"Ohtani, Shohei",605240,triple,L,Cutter,87.3,64,104.4,2,6,9,1.6
"Ohtani, Shohei",448306,single,R,Sinker,89,83,112,3,2,2,0.9
"Ohtani, Shohei",607074,home_run,L,4-Seam Fastball,94,412,105.6,30,1,4,2
"Ohtani, Shohei",112526,single,R,Changeup,79.5,3,63.8,-30,2,2,0.9
"Ohtani, Shohei",641962,single,L,4-Seam Fastball,96.8,279,109.8,13,6,6,0.9
"Ohtani, Shohei",502212,home_run,R,4-Seam Fastball,90.3,361,107.3,45,5,6,2
"Ohtani, Shohei",501985,home_run,L,Slider,86.4,413,102.6,27,1,2,2
"Ohtani, Shohei",664285,single,L,Sinker,92.1,3,82.8,-49,0,0,0.9
"Ohtani, Shohei",606965,single,R,4-Seam Fastball,94.1,234,111.6,12,4,4,0.9
"Ohtani, Shohei",493603,single,R,Sinker,93.1,287,83.2,24,5,5,0.9
"Ohtani, Shohei",434378,home_run,R,Changeup,86.8,416,104.3,29,0,2,2
"Ohtani, Shohei",434378,double,R,Changeup,86.8,217,79.6,20,0,0,1.25
"Ohtani, Shohei",451596,double,R,Slider,90.5,15,99.1,-6,0,0,1.25
"Ohtani, Shohei",572750,home_run,R,4-Seam Fastball,94.5,410,106.7,26,7,10,2
"Ohtani, Shohei",642558,single,R,Changeup,86.7,123,101.7,5,1,2,0.9
"Ohtani, Shohei",544727,single,R,Slider,89.4,294,97.5,18,5,7,0.9
"Ohtani, Shohei",641941,single,R,4-Seam Fastball,93.9,274,88.6,18,0,0,0.9
"Ohtani, Shohei",545363,home_run,R,Sinker,95.1,411,107.2,34,0,3,2
"Ohtani, Shohei",622505,single,R,Sinker,94.6,12,91.8,-13,7,7,0.9
"Ohtani, Shohei",669456,single,R,Knuckle Curve,79.8,214,79.2,19,1,2,0.9
"Ohtani, Shohei",669456,double,R,Knuckle Curve,81.1,400,102.6,24,0,0,1.25
"Ohtani, Shohei",605182,home_run,R,4-Seam Fastball,94.1,443,110.7,29,2,3,2
